id,place_name,scene_description,desc_source_url
st_04124,양화대교,,
st_04126,마포대교아래,,
st_04130,여의도환승센터(3번승강장),,
st_04131,더현대서울 정류장,15~16화에서 퀸즈백화점(더현대서울) 앞 파크원빌딩 횡단보도로 등장,https://blog.naver.com/hsc_one1/223422980768
st_04137,더리버 옆,2화에서 한강 보트 출입장 배경으로 등장한 더리버,https://blog.naver.com/hsc_one1/223379466493
st_04141,용산전자상가 제4공영주차장,,
st_04147,대원정사 주차장,8화에서 서울 도심 야경 장면 촬영에 쓰인 용산 대원정사 옥상주차장,https://blog.naver.com/hsc_one1/223401737076
st_04148,소파로,CU 뉴명동YWCA점 편의점 장면이 촬영된 곳,https://traveltodrama.com/queen-of-tears-seoul-filming-locations-map/
st_04153,아키라백,3화에서 포시즌스 호텔 서울 12층 모던일식당 아키라 백으로 등장,https://blog.naver.com/hsc_one1/223385819326
st_04156,우리옛돌박물관앞,1화부터 등장하는 홍해인 가문 저택 '퀸즈타운' 배경인 우리옛돌박물관,https://blog.naver.com/hsc_one1/223378619610;https://blog.naver.com/riael1230/223383293496
st_04157,서울면남초등학교,,
st_04158,아차산 지하차도 옆,,
st_04161,써브웨이 사당역점,드라마 속 PPL 장면이 촬영된 사당역 서브웨이 매장,https://traveltodrama.com/queen-of-tears-seoul-filming-locations-map/
st_04164,메가커피 역삼GFC점,8화에서 커피점 배경 장소로 등장한 메가커피 역삼GFC점,https://blog.naver.com/hsc_one1/223401737076
st_04170,깔끔이슈퍼,,
st_04171,식현1리,,
st_04172,식현1리 마을회관,,
st_04174,조이마당스튜디오,11~12화 등에서 실내 촬영 스튜디오로 활용된 파주 조이마당스튜디오,https://blog.naver.com/hsc_one1/223414898216
st_04175,블라썸,,
st_04177,써브웨이 파주야당역점,,
st_04178,서강빌딩,,
st_04181,백합칼국수&보쌈,,
st_04182,강화대교,9화에서 용두리로 이사 온 퀸즈가 식구들의 마을 입구 다리 배경으로 등장한 강화대교,https://blog.naver.com/hsc_one1/223408377699
st_04190,오호항,,
st_04196,괴산휴게소(양평방향),,
st_04199,인포 정육점식당,6화 등에서 백현우 누나 백미선이 운영하는 '퀸즈 헤어살롱' 세트로 쓰인 정육점식당 자리,https://blog.naver.com/redmee2/223385248212
st_04206,장항송림산림욕장,8화에서 큰 개가 해인에게 달려들자 은성이 돌맹이로 물리치는 장면이 촬영된 장항송림산림욕장,https://blog.naver.com/hsc_one1/223401737076
st_04207,서천유스호스텔,8화에서 희망복지원(보육원) 배경으로 등장한 서천유스호스텔,https://blog.naver.com/hsc_one1/223401737076
st_04208,성일복지원,"8화 희망복지원 세트 배경으로 쓰인 하얀 건물, 서천유스호스텔 인근 성일복지원",https://blog.naver.com/hsc_one1/223401737076
st_04209,익산교도소세트장,15~16화에서 경찰서·법원·교도소 배경 세트장으로 쓰인 익산교도소 세트장,https://blog.naver.com/hsc_one1/223422980768
st_04222,위만리(1),,
st_04223,위만리(2),,
st_04224,위만리(3),,
st_04225,위만리(4),,
st_04226,위만리(5),,
st_04227,문경활공랜드,11~12화에서 현우가 해인에게 반지를 건네는 장소로 등장한 문경활공랜드,https://blog.naver.com/hsc_one1/223414898216;https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04228,문경맛집순대,4화에서 이장 후보 박석훈이 운영하는 용두리 돼지국밥집으로 등장한 문경맛집순대,https://blog.naver.com/redmee2/223406078259
st_04229,문희로,5~6화 등에서 부동산 가격이 급등한 용두리 마을 배경으로 언급된 문경시 문희로,https://blog.naver.com/ggemma7/223394925343
st_04230,유월의가드니아,눈물의 여왕에서 카페 장면이 촬영된 것으로 알려진 문경 유월의가드니아,https://blog.naver.com/myllloverll/223965973188
st_04231,봉득교,10화 현우의 격투신이 촬영된 문경 마성면 신현리 다리(봉득교),https://blog.naver.com/hsc_one1/223414898216;https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04235,장군복싱클럽,3화에서 퀸즈 복싱 체육관 배경으로 등장한 문경 장군복싱클럽,https://blog.naver.com/hsc_one1/223385819326;https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04236,엘포리캠핑장,5~6화 등에서 현우 친구들의 캠핑장으로 등장한 포항 엘포리캠핑장,https://blog.naver.com/ggemma7/223394925343
st_04244,Frankfurt (Main) Platz der Republik,,
st_04245,마인강 옆,,
st_04248,Mainuferpark süden,,
st_04249,Meral Imbiss,6화 등에서 해인이 줄 서서 산 케밥을 결국 맛보지 못하는 장면이 촬영된 프랑크푸르트 Meral Imbiss,https://blog.naver.com/viator5/223422185117
st_04250,Nikolassee,외국인에게 플러팅 당하는 백현우를 보고 유부남이니 가라며 쏘아붙이는 홍해인이 등장한 니콜라쎄 역,https://blog.naver.com/riael1230/223394409835
st_04251,Nervenzentrum Potsdam,현우가 해인을 살뜰히 챙기며 입을 닦아주는 강변 레스토랑으로 등장한 포츠담 L'Osteria,https://blog.naver.com/redmee2/223385606330
st_04252,Deutschherrnbrücke,,
st_04253,Mayfarthstraße,,
st_04254,Goethestraße,,
st_04255,Faber-Castell Flagship Store Frankfurt,,
st_04256,AMRIT Restaurant Schoneberg,,
st_04257,Winterfeldtstraße,,
st_04258,Wochenmarkt Winterfeldtplatz,6화에서 백현우가 홍해인을 위해 네잎클로버를 모두 사는 장면이 촬영된 베를린 주간시장,https://www.instagram.com/p/C4-3mYTJAAi/;https://blog.naver.com/jangkkoo/223400498818
st_04259,Spreebogen,,
st_04262,Alter St.-Matthäus-Kirchhof,,
st_04263,James-Simon-Park,해인과 현우의 신혼여행 장면에 잠깐 등장한 것으로 알려진 James-Simon-Park,https://blog.naver.com/leasdailyrecord/223430497616
st_04264,샤리테병원,15~16화에서 해인이 수술받는 독일 병원으로 등장한 샤리테병원,https://blog.naver.com/hsc_one1/223422980768
st_04265,월도프 아스토리아 베를린,,
st_04266,Dircksenstraße 136-132,15~16화에서 자동차 사고와 자전거 사탕수레 장면이 촬영된 디르크센 슈트라세 사거리,https://blog.naver.com/hsc_one1/223422980768
st_04267,Glienicker Brücke,,
st_16935,마곡중앙로 횡단보도,,
