id,place_name,scene_description,desc_source_url
st_05068,대방건설빌딩앞,일을 끝내고 공항버스를 타고 온 최혜정이 내린 장소입니다.,https://traveltodrama.com/the-glory-filming-locations-map/
st_05069,누리꿈스퀘어,박연진이 강현남에게 문동은의 비밀 물어보던 장소입니다.,https://traveltodrama.com/the-glory-filming-locations-map/
st_05070,상암DMC푸르지오시티,이사라의 마약 의심 행동을 보여주던 외부 광고판이 위치한 장소입니다.,https://traveltodrama.com/the-glory-filming-locations-map/
st_05071,미니스톱,미니스톱 편의점에서 문동은과 하도영이 우연히 만나는 장면.,https://traveltodrama.com/the-glory-filming-locations-map/
st_05072,신세계이발,문동은의 엄마인 정미희가 일하던 이발소입니다.,https://traveltodrama.com/the-glory-filming-locations-map/
st_05077,진담황태국,,
st_05078,평창동집,,
st_05083,준오헤어 노원사거리점,전재준이 친구인 변호사와 함께 이야기 하던 미용실입니다.,https://traveltodrama.com/the-glory-filming-locations-map/
st_05084,김밥천국,집도 부모도 없던 문동은 학교를 자퇴하고 일하던 김밥집입니다.,https://traveltodrama.com/the-glory-filming-locations-map/
st_05086,세빛섬 맞은편,세빛섬 맞은편 한강둔치에서 문동은이 홀로 고민하던 장면.,https://traveltodrama.com/the-glory-filming-locations-map/
st_05090,종합운동장역 물품보관함A,,
st_05092,에이치비지니스파크,에이치비지니스파크 앞 거리에서 강현남이 최혜정을 몰래 미행하는 장면.,https://traveltodrama.com/the-glory-filming-locations-map/
st_05096,수정교회,이사라의 부모님이 목사로 있는 수정교회가 나오는 장면.,https://traveltodrama.com/the-glory-filming-locations-map/
st_05097,서해아파트,,
st_05098,공촌4교,주여정이 교도소에서 아버지를 죽인 사형수를 만나고 돌아오던 중에 잠시 멈춰 울던 장소입니다.,https://traveltodrama.com/the-glory-filming-locations-map/
st_05101,한신더휴캐널파크아파트 1106동,,
st_05102,모아미래도엘리트파크 807동,,
st_05103,송림동 주택,,
st_05104,현대슈퍼,강현남의 남편인 이석재가 술을 자주 가던 슈퍼입니다.,https://traveltodrama.com/the-glory-filming-locations-map/
st_05105,송도32호공원,주여정이 운동을 하던 중 문동은이 차로 데리러 간 장소입니다.,https://traveltodrama.com/the-glory-filming-locations-map/
st_05106,효창티앤티,효창티앤티에서 어린 문동은이 일하던 성우방직 공장 장면.,https://traveltodrama.com/the-glory-filming-locations-map/
