id,place_name,scene_description,desc_source_url
st_09492,우리기술빌딩,10화에서 류선재의 피습 소식이 대형화면(CG)으로 뜨는 뉴스 장면이 촬영된 상암 DDMC 건물,https://blog.naver.com/hsc_one1/223438525259
st_09493,비엔나커피하우스 상암팬엔터점,드라마 속 현주가 소개팅을 하는 장면이 촬영된 상암동 카페,https://blog.naver.com/hs21589/223451714802
st_09494,가온문화공원 앞,솔이의 아침 출근길 장면이 촬영된 상암 가온문화공원,https://blog.naver.com/hs21589/223495466842
st_09495,알페로,배우가 꿈인 임솔 오빠의 모습이 나오는 홍대거리 스테이크 전문점 촬영 장면,https://blog.naver.com/hs21589/223488478481
st_09496,"한강(양화대교,서강대교사이)",16화에서 선재가 유람선에서 솔에게 프로포즈했다 실패하는 장면이 촬영된 한강,https://blog.naver.com/openthedoa/223475762570
st_09497,성산로22길,2화에서 솔이가 다친 태성이를 치료해주는 굴다리 앞 계단 장면,https://blog.naver.com/redmee2/223412212978
st_09500,메머드익스프레스 홍대정문점 앞,,
st_09502,카페로드,10화에서 솔과 태성이 팬티를 바꾸러 들른 카페 장면,https://blog.naver.com/openthedoa/223475762570
st_09512,삼일대로32길,,
st_09513,CU종로신영점,6화에서 태성이 솔이에게 차인 것을 선재가 알게 되는 세검정 편의점 장면,https://blog.naver.com/yosi0103/223490790274
st_09514,서울시립대학교 인문학관,10화에서 연서대학교로 나오는 서울시립대학교 인문학관,https://blog.naver.com/openthedoa/223475762570
st_09518,에픽에스프레소더커피바,솔이가 현재(2024)에서 형사와 만나는 장면이 촬영된 왕십리 카페,https://blog.naver.com/hs21589/223465130094;https://blog.naver.com/sy450/223795921611
st_09519,상상플래닛,9화 이후 임솔이 다니는 영화사(본시네마) 건물로 나오는 성수동 카페,https://blog.naver.com/anbangk/223437537867;https://blog.naver.com/hsc_one1/223453232694
st_09522,29펍 4호점,선재가 속한 이클립스의 콘서트 뒤풀이 파티가 열리는 술집 장면,https://blog.naver.com/redmee2/223432733537
st_09525,인스파이어 엔터테인먼트 리조트,7화에서 임솔이 다니는 영화사가 선재에게 사과하려 마련한 미팅 자리로 나온 호텔,https://blog.naver.com/hs21589/223491357704;https://blog.naver.com/rehab0827/223465325938
st_09526,파라다이스시티호텔,8화에서 임솔과 류선재가 현재에서 다시 만나 대화하는 장소로 나온 호텔,https://blog.naver.com/rehab0827/223465325938
st_09530,시향,임솔이 태성이 생일을 챙겨주려 미역국을 사주는 식당 장면,https://blog.naver.com/hs21589/223488476216
st_09531,부흥로,,
