id,place_name,scene_description,desc_source_url
st_03685,구찌 청담 플래그십,,
st_03686,도산공원.호림아트센터앞 정류장,,
st_03687,오르시아,동창회 전 희연이 지원에게 명품과 모조품 주얼리 구분법을 알려주는 장면,https://blog.naver.com/jewely0227/223375198425
st_03688,청담나인,,
st_03689,애브뉴준오,,
st_03690,삼성리,,
st_03691,마쯔가제,,
st_03692,아셈타워,,
st_03693,강동경희대학교의대병원,,
st_03694,OSK마트 효성점,,
st_03695,일리카페 롯데백화점인천점,,
st_03696,롯데백화점 인천점 3층,,
st_03697,롯데백화점 인천점 문화센터,,
st_03698,화적연,8화에서 워크샵 중 물에 빠진 지원을 지혁이 구해주는 장면,https://blog.naver.com/redmee2/223362921776
st_03699,조이마당스튜디오,16화 최종회에서 법원과 교도소 장면 촬영에 쓰인 세트장으로 등장하는 장면,https://blog.naver.com/hsc_one1/223359678078
st_03700,폐공장,,
st_03701,GS25 출판행복도시점,,
st_03702,미메시스아트뮤지엄,16화 마지막회에서 벚꽃 그림 전시회 장소로 등장하는 장면,https://blog.naver.com/hsc_one1/223359678078
st_03703,이채사거리,,
st_03704,지혜의숲,마지막화에서 강지원이 이사가 되어 다목적홀에 등장하는 장면,https://blog.naver.com/k635613/223360500052
st_03705,마을촌,,
st_03706,CJ ENM 스튜디오센터,,
st_03707,통일로추모공원,,
st_03708,교하정,11화에서 양과장 부모님이 운영하는 한우식당으로 등장하는 장면,https://blog.naver.com/hsc_one1/223345553872
st_03709,삼성아파트 102동,,
st_03710,한류월드로,,
st_03711,원마운트 스노우파크,10화에서 지원이 은호와 스케이트를 타며 데이트하는 장면,https://blog.naver.com/redmee2/223339299645
st_03712,일산호수공원,,
st_03713,화신프라자 앞,,
st_03714,키딩,16화 최종회에서 은호가 운영하는 식당으로 등장하는 장면,https://blog.naver.com/hsc_one1/223359678078
st_03715,오르비제빌리지,10화에서 강지원이 새로 이사한 집으로 등장하는 장면,https://blog.naver.com/hsc_one1/223339176685
st_03716,일산수목장,,
st_03717,대양물류보관창고,10화에서 인물이 납치되어 끌려가는 곳으로 등장하는 장면(실은 계략),https://blog.naver.com/hsc_one1/223339176685
st_03718,순성당,,
st_03719,갈현냉면집,,
st_03720,디오름,,
st_03721,얼반웍스 스튜디오,,
st_03722,노스토스,,
st_03723,조종농협웨딩홀,11화에서 정수민과 박민환의 결혼식이 열리는 장면,https://blog.naver.com/redmee2/223347185274
st_03724,가평북중학교,,
st_03725,리븐델게스트하우스,8화에서 두 사람이 청혼(프러포즈)을 하는 장면이 촬영된 장소,https://blog.naver.com/hsc_one1/223331943732
st_03726,청평호,9화에서 유지혁이 요트에서 강지원에게 생일 축하와 프러포즈를 하는 장면,https://blog.naver.com/nixton/223338080270
st_03727,정부과천청사 2주차장옆도로,,
st_03728,성남시의료원,,
st_03729,수원대학교 학군단앞 연못,5화에서 만취한 지원을 지혁이 밤새 지켜주고 16화에서 지혁이 프러포즈하는 장면,https://blog.naver.com/redmee2/223335084937
st_03730,봄파머스가든,,
st_03731,양평수목원 캠핑장,8화 워크샵 캠핑장에서 민환과 수민이 외도를 시작하는 장면,https://blog.naver.com/redmee2/223362921776
st_03732,마임비전빌리지,10화에서 지원이 실장과 함께 회장 별장을 방문해 보고하는 장면,https://blog.naver.com/hsc_one1/223339176685
st_03733,홍천경찰서,,
st_03734,블루더카페,,
st_03735,애양원 토플하우스,1화 오프닝에서 병실 창밖으로 벚꽃이 흩날리는 장면,https://blog.naver.com/hsc_one1/223309778387
st_03736,계성학교 핸더슨관,,
st_03737,대청동 집,강지원의 학생 시절 집 배경으로 등장하는 장면,https://blog.naver.com/hsc_one1/223309778387
st_03738,중구종합사회복지관 앞,,
st_03739,중리항방파제등대,11화에서 두 주인공이 방문한 방파제 등대에서 노을을 보는 장면,https://blog.naver.com/enffl_love/223356311252
st_03740,옥천횟집,11화에서 두 주인공이 함께 돼지국밥을 먹는 장면,https://blog.naver.com/enffl_love/223356311252
st_03741,다대포해수욕장,11화에서 두 주인공이 여행을 떠나 노을을 보는 장면,https://blog.naver.com/hsc_one1/223345553872
st_03742,법기수원지,7~8화 워크샵에서 지혁이 우는 지원을 위로해주는 숲길 장면,https://blog.naver.com/melchisedech91/223334906846
st_03743,에디스키친,3화에서 지원의 첫사랑 은호가 셰프로 일하는 레스토랑으로 등장하는 장면,https://blog.naver.com/redmee2/223316630944
