id,place_name,scene_description,desc_source_url
st_07372,쏭타이치앙마이 마곡직영점,12화에서 미지와 엄마가 함께 찾아가는 쌀국수집으로 나오는 장면,https://blog.naver.com/location_info/223891872109
st_07373,덕산중학교.두산위브아파트 정류장(12499),,
st_07374,증산서길,,
st_07375,증산동 골목,,
st_07376,안짱,5화에서 미지가 찾아간 술집(홍제동)으로 나오는 장면,https://blog.naver.com/location_info/223891872109
st_07377,광산맨션,,
st_07378,스위스그랜드호텔,,
st_07379,담솥 신촌점,,
st_07380,데스툴 연희,6화에서 호수와 미지가 만나는 카페로 나오는 장면,https://blog.naver.com/hsc_one1/223893026036
st_07381,홍대채움공인중개사사무소,,
st_07382,준무 연남,7화에서 지윤 연락을 받은 미지가 나간 이자카야에서 봉변을 당하는 장면,https://blog.naver.com/hsc_one1/223899702264
st_07383,브라운 프론트 도어,,
st_07384,채그로,,
st_07385,미스터리브루잉컴퍼니,,
st_07386,마포대교,,
st_07387,여의대로(LG트윈타워앞),극 중 두손리에서 상경한 미래와 경구가 오해를 풀고 비밀을 알게 되는 장소로 등장,https://blog.naver.com/120seoulcall/223927025939
st_07388,원효대교,,
st_07389,맨홀커피,4화에서 미지·호수·지윤이 참석하는 동창회 모임 장소(카페)로 나오는 장면,https://blog.naver.com/location_info/223877041263
st_07390,JK아트컨벤션,6화에서 친구 돌잔치 파티가 열리는 장소로 나오는 장면,https://blog.naver.com/hsc_one1/223893026036
st_07391,다이어메이커 문래,,
st_07392,비닐하우스,"3화에서 미지가 호수, 박지윤을 만나는 술집(와인바)으로 나오는 장면",https://blog.naver.com/location_info/223877041263
st_07393,테이블스 영등포구청점,6화에서 지윤이 정규직이 아니라는 속사정을 호수에게 털어놓는 카페로 나오는 장면,https://blog.naver.com/hsc_one1/223893026036
st_07394,강변북로,,
st_07395,더큐어링,,
st_07396,동작대교,미지와 미래가 손가락을 걸고 서로의 인생을 바꾸기로 약속하는 장면,https://blog.naver.com/redmee2/223874701777
st_07397,녹트,9화에서 호수가 새 변호사 사무실 임원들을 만나 이직을 고민하는 한강 레스토랑으로 나오는 장면,https://blog.naver.com/location_info/223891872109
st_07398,서빙고초등학교 정류장,,
st_07399,서울역(15번출구쪽),,
