id,place_name,scene_description,desc_source_url
st_07373,덕산중학교.두산위브아파트 정류장(12499),6화에서 미지가 호수에게 로사 식당 주인의 학력에 관해 이야기하는 버스정류장 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07374,증산서길,,
st_07375,증산동 골목,2화에서 미래 대신 출근한 미지가 담당하게 된 로사 식당으로 나오는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07377,광산맨션,8화에서 서울에 있는 미지와 미래의 집 외관이 나오는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07378,스위스그랜드호텔,6화에서 미래와 경구가 참석한 고등학교 동창의 결혼식장 외관 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07379,담솥 신촌점,10화에서 미지와 호수가 식사하며 미지의 아르바이트 문제를 상의하는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07381,홍대채움공인중개사사무소,12화에서 미지와 엄마가 집을 둘러본 뒤 임대 계약을 진행하는 부동산 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07383,브라운 프론트 도어,,
st_07384,채그로,10화에서 미지가 구인 안내서를 읽으며 일자리를 알아보는 카페 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07385,미스터리브루잉컴퍼니,극 중 호수가 얼떨결에 참여하게 된 소개팅이 열리는 장소로 나오는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07386,마포대교,,
st_07388,원효대교,,
st_07391,다이어메이커 문래,2화에서 미래인 척한 미지가 호수와 식사하다가 시끄러워 급히 자리를 나오는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07394,강변북로,,
st_07395,더큐어링,10화에서 세진이 미래를 데리고 가 함께 식사하는 이탈리안 레스토랑 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07398,서빙고초등학교 정류장,1화에서 미지와 미래가 병원에서 나온 뒤 귀가 버스를 타는 정류장 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07399,서울역(15번출구쪽),1화에서 미지가 미래를 만나러 서울에 왔을 때 기차에서 내려 나오는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07401,필로소피라운지,극 중 이충구 변호사가 호수에게 윤지상 변호사를 소개하는 레스토랑 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07402,을지로(1),4화에서 호수가 로사 식당 주인이 오지 않는다는 미지의 전화를 받는 지하도 입구 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07403,을지로(2),10화에서 서울에 올라온 세진이 길을 걷던 미래를 발견하는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07404,을지로5길,10화에서 서울에 올라온 세진이 길에서 미래를 발견하는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07405,SK텔레콤빌딩앞 택시정류장,극 중 미지가 혼잣말을 하며 정류장에 서 있는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07406,명동11길,1화에서 미지가 사라진 미래를 찾아 골목길을 달리는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07409,을지로2가교차로,,
st_07410,시그니쳐타워,극 중 지윤이 법무법인 원근이 있는 빌딩 앞에서 거리 공연을 하는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07411,센트로폴리스,,
st_07413,서린동.SK서린빌딩 정류장,,
st_07414,한화빌딩앞,2화에서 미지와 호수가 서울 도심에서 우연히 다시 마주치는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07417,신당역1번출구,4화에서 미지가 호수와 로사 식당 주인을 불러내 만나게 하는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07418,퇴계로83길,,
st_07419,모아주방설비,4화에서 호수가 로사 식당 주인과 함께 냉장고를 사러 가는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07420,어글리베이커스베이글 신당본점,4화에서 호수가 전 직장 동료 황 비서와 만나 이야기를 나누는 카페 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07422,청진공원,,
st_07423,북촌로5길,8화에서 미지와 호수가 가이드북을 따라 북촌을 둘러보는 데이트 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07427,북촌5가길,8화에서 미지와 호수가 가이드북을 따라 북촌을 둘러보는 데이트 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07428,북촌여행,8화에서 미지와 호수가 가이드북을 따라 북촌을 둘러보는 데이트 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07436,뜰안 앞,8화에서 미지와 호수가 가이드북을 따라 익선동 골목을 둘러보는 데이트 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07442,마전교지하쇼핑센터(대신사),4화에서 미지와 호수가 함께 뜨개질용 털실을 사는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07443,이화동벽화마을,,
st_07445,성신여자대학교 운정그린캠퍼스,4화에서 호수가 옥상에서 미지에게 자신의 첫사랑이었다고 말하는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07446,티틸 CAFE+BAR,8화에서 미지가 박상영을 만나 이야기를 나누는 카페 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07447,미즐카페엠,5화에서 호수가 전 직장 동료 황 비서와 이야기를 나누는 카페 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07450,어메이징브루잉컴퍼니,10화에서 세진이 미래를 데리고 가 함께 맥주를 마시는 브루어리 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07451,클래식 해례커피,12화에서 미래와 회사 동료 김태이가 이야기를 나누는 카페 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07453,성수낙낙,4화에서 미지와 호수가 고등학교 동창회에 참석한 장소의 외관 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07454,커먼그라운드,11화에서 경구가 한정판 신발을 사려고 미지를 데리고 간 매장 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07457,서울여자대학교,3화에서 호수의 롤모델 이충구 변호사가 학생들에게 강연하는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07458,삼육대학교,12화에서 박상영이 법원 앞에서 미래에게 말을 거는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07461,서울중앙지방법원,1화에서 변호사 호수가 법정에 출석하며 처음 등장하는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07462,선샤인호텔,9화에서 박상영이 미래에게 시한건설 조남호를 소개하는 호텔 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07463,세로수길,,
st_07464,스노우폭스 플라워 가로수길점,10화에서 세진이 미래를 데리고 꽃집에 가는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07465,고디바 가로수길 플래그십,10화에서 세진이 미래를 데리고 초콜릿 매장에 가는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07466,인천공항,12화에서 미국으로 떠나는 세진을 미래가 공항에서 배웅하는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07468,샛별팬시문구,1화에서 어린 미지와 미래가 아버지와 함께 문구점 겸 슈퍼에 가는 회상 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07470,가톨릭대학교 의정부성모병원,"7화에서 미지와 미래, 호수의 어머니들이 쓰러져 이송되는 병원 장면",https://kdrama-nation.com/our-unwritten-seoul-location/
st_07471,의정부시 장애인복지회관,,
st_07472,로케이션 이음,4화에서 로사 식당 주인이 이송된 병원의 대기실로 나오는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07473,오디디,8화에서 호수가 전 직장 동료 황 비서와 만나 이야기를 나누는 카페 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07475,지혜의숲,,
st_07476,일산서구청소년수련관,3화에서 로사 식당 주인이 참석한 시낭송회가 열리는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07480,안산버스터미널,2화에서 미래가 고향으로 내려가는 버스를 타기 위해 터미널에 가는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07483,SRC노인전문병원,10화에서 로사 식당 주인의 아들이 입원한 소나무정신병원으로 나오는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07484,진성스파르타기숙학원,12화에서 미지가 다니는 입시학원의 기숙사로 나오는 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
st_07485,당진우리병원,7화에서 어린 미래가 입원해 치료받던 한국대학병원으로 나오는 장면,https://blog.naver.com/hsc_one1/223899702264
st_07488,가야산주차장,,
st_07490,가루실딸기,,
st_07491,대천요양원,1화에서 미지와 미래의 할머니가 입원해 지내는 봉덕요양병원 장면,https://kdrama-nation.com/our-unwritten-seoul-location/
